STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,CODE,TVA
AMM ENREGISTREE,Commercialisé,BRONCHODUAL,50 µG / 20 µG / DOSE,SOLUTION POUR INHALATION,BOITE D'UN FLACON DE 200 DOSES,PP,IPRATROPIUM // FENOTEROL,PNEUMOLOGIE,BOTTU,"102,90","64,30","61,25",476,
AMM ENREGISTREE,Non Commercialisé,CLODREL,75 MG,COMPRIME PELLICULE,BOITE DE 15,GN,CLOPIDOGREL,HEMATOLOGIE ET HEMOSTASE,BOTTU,"117,00","73,10","69,64",477,
AMM ENREGISTREE,Non Commercialisé,CLODREL,75 MG,COMPRIME PELLICULE,BOITE DE 30,GN,CLOPIDOGREL,HEMATOLOGIE ET HEMOSTASE,BOTTU,"211,00","132,50","126,19",478,
AMM ENREGISTREE,Commercialisé,CURTEC,10 MG,COMPRIME SECABLE,BOITE DE 30,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,BOTTU,"82,20","51,40","48,94",479,
AMM ENREGISTREE,Commercialisé / AO,GIOTRIF,20 MG,COMPRIME PELLICULE,BOITE DE 28,PP,AFATINIB DIMALEATE,CANCEROLOGIE-HEMATOLOGIE,BOTTU,"19047,00","18682,00","18282,16",480,
AMM ENREGISTREE,Commercialisé,GIOTRIF,30 MG,COMPRIME PELLICULE,BOITE DE 28,PP,AFATINIB DIMALEATE,CANCEROLOGIE-HEMATOLOGIE,BOTTU,"19047,00","18682,00","18282,16",481,
AMM ENREGISTREE,Commercialisé,GIOTRIF,40 MG,COMPRIME PELLICULE,BOITE DE 28,PP,AFATINIB DIMALEATE,CANCEROLOGIE-HEMATOLOGIE,BOTTU,"19047,00","18682,00","18282,16",482,
AMM ENREGISTREE,Commercialisé / AO,GIOTRIF,50 MG,COMPRIME PELLICULE,BOITE DE 28,PP,AFATINIB DIMALEATE,CANCEROLOGIE-HEMATOLOGIE,BOTTU,"19047,00","18682,00","18282,16",483,
AMM ENREGISTREE,Commercialisé,HEBERPROT-P 75,75 µG,LYOPHILISAT POUR PREPARATION INJECTABLE,BOITE D'UN FLACON DE 5 ML,PP,"FACTEUR DE CROISSANCE 
EPIDERMIQUE HUMAIN RECOMBINANT",ENDOCRINOLOGIE ET HORMONES,BOTTU,"8966,00","8798,00","8398,69",484,
AMM ENREGISTREE,Commercialisé,JARDIANCE,10 MG,COMPRIME PELLICULE,BOITE DE 30,PP,EMPAGLIFLOZINE,METABOLISME NUTRITION DIABETE,BOTTU,"448,00","298,00","303,79",485,
AMM ENREGISTREE,Commercialisé,JARDIANCE,25 MG,COMPRIME PELLICULE,BOITE DE 30,PP,EMPAGLIFLOZINE,METABOLISME NUTRITION DIABETE,BOTTU,"448,00","298,00","303,79",486,
AMM ENREGISTREE,Commercialisé,LATANO JP,"0,00005",SOLUTION OPHTALMIQUE,"FLACON DE 2,5 ML",GN,LATANOPROST,OPHTALMOLOGIE,BOTTU,"91,80","57,40","56,78",487,
AMM ENREGISTREE,Commercialisé / AO,PROTADEX,150 MG,COMPRIME PELLICULE,BOITE DE 28,GN,BICALUTAMIDE,ENDOCRINOLOGIE ET HORMONES,BOTTU,"962,00","681,00","649,37",488,
AMM ENREGISTREE,Commercialisé,PROTADEX,50 MG,COMPRIME PELLICULE,BOITE DE 28,GN,BICALUTAMIDE,ENDOCRINOLOGIE ET HORMONES,BOTTU,"449,00","299,00","284,81",489,
AMM ENREGISTREE,Non Commercialisé,SPIRIVA RESPIMAT,"2,5 µG / DOSE",SOLUTION POUR INHALATION,BOITE D'UNE CARTOUCHE DE 60 DOSES ET D'UN INHALATEUR RESPIMAT,PP,TIOTROPIUM,PNEUMOLOGIE,BOTTU,"422,00","280,00","267,29",490,
AMM ENREGISTREE,Non Commercialisé,TREXA,10 MG,COMPRIME,BOITE DE 15,GN,METHOTREXATE,CANCEROLOGIE-HEMATOLOGIE,BOTTU,"49,10","30,70","29,24",491,
AMM ENREGISTREE,Non Commercialisé,TREXA,"2,5 MG",COMPRIME,BOITE DE 24,GN,METHOTREXATE,CANCEROLOGIE-HEMATOLOGIE,BOTTU,"28,10","17,50","16,71",492,
AMM ENREGISTREE,Commercialisé / AO,TWYNSTA,40 MG / 10 MG,COMPRIME,BOITE DE 28,PP,TELMISARTAN // AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"244,00","152,80","145,50",493,
AMM ENREGISTREE,Commercialisé,TWYNSTA,40 MG / 5 MG,COMPRIME,BOITE DE 28,PP,TELMISARTAN // AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"214,00","134,30","127,95",494,
AMM ENREGISTREE,Commercialisé,TWYNSTA,80 MG / 10 MG,COMPRIME,BOITE DE 28,PP,TELMISARTAN // AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"268,00","178,10","169,65",495,
AMM ENREGISTREE,Non Commercialisé,VARGATEF,100 MG,CAPSULE MOLLE,BOITE DE 120 (2 BOITES DE 60 CHACUNE EMBALLEE DANS UN FILM PLASTIQUE),PP,NINTEDANIB ESILATE,CANCEROLOGIE-HEMATOLOGIE,BOTTU,"27623,00","27090,00","26690,18",496,
AMM ENREGISTREE,Non Commercialisé,VARGATEF,150 MG,CAPSULE MOLLE,BOITE DE 60,PP,NINTEDANIB ESILATE,CANCEROLOGIE-HEMATOLOGIE,BOTTU,"27623,00","27090,00","26690,18",497,
AMM ENREGISTREE,Non Commercialisé,VIRABINE,200 MG,GELULE,BOITE DE 80,GN,RIBAVIRINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ZENITH PHARMA,"906,00","602,00","573,42",498,
AMM ENREGISTREE,Commercialisé,ADRONAT,70 MG,COMPRIME,BOITE DE 4,GN,ACIDE ALENDRONIQUE,RHUMATOLOGIE,BOTTU,"164,50","102,80","97,91",499,
AMM ENREGISTREE,Non Commercialisé,ALGOTROPYL,"0,2 G / 0,005 G",SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL // PROMETHAZINE,ANTALGIQUES,BOTTU,"9,10","5,70","5,45",500,
AMM ENREGISTREE,Non Commercialisé,ALGOTROPYL,"0,4 G / 0,01 G",SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL // PROMETHAZINE,ANTALGIQUES,BOTTU,"9,40","5,90","5,62",501,
AMM ENREGISTREE,Commercialisé,ALYSE,150 MG,GELULE,BOITE DE 56,GN,PREGABALINE,NEUROLOGIE-PSYCHIATRIE,BOTTU,"318,00","211,00","201,41",502,
AMM ENREGISTREE,Commercialisé,ALYSE,25 MG,GELULE,BOITE DE 56,GN,PREGABALINE,NEUROLOGIE-PSYCHIATRIE,BOTTU,"127,60","79,70","75,93",503,
AMM ENREGISTREE,Commercialisé / AO,ALYSE,300 MG,GELULE,BOITE DE 56,GN,PREGABALINE,NEUROLOGIE-PSYCHIATRIE,BOTTU,"449,00","299,00","284,81",504,
AMM ENREGISTREE,Commercialisé,ALYSE,75 MG,GELULE,BOITE DE 56,GN,PREGABALINE,NEUROLOGIE-PSYCHIATRIE,BOTTU,"238,00","149,10","142,05",505,
AMM ENREGISTREE,Commercialisé,ANALGYL,200 MG,DRAGEE,BOITE DE 20,GN,IBUPROFENE,ANTI-INFLAMMATOIRES,BOTTU,"16,80","10,50","9,99",506,
AMM ENREGISTREE,Non Commercialisé,ANGLOR,10 MG,COMPRIME,BOITE DE 28,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"75,20","47,00","44,74",507,
AMM ENREGISTREE,Non Commercialisé,ANGLOR,5 MG,COMPRIME,BOITE DE 28,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"40,70","25,40","24,23",508,
AMM ENREGISTREE,Commercialisé,APAZIDE,200 MG,GELULE,BOITE DE 16,GN,NIFUROXAZIDE,GASTRO-ENTEROLOGIE,BOTTU,"18,40","11,50","10,96",509,
AMM SUSPENDUE,Suspendu du Marché,APAZIDE,220 MG,SUSPENSION BUVABLE,FLACON DE 100 ML,GN,NIFUROXAZIDE,GASTRO-ENTEROLOGIE,BOTTU,"21,70","13,60","12,93",510,
AMM ENREGISTREE,Commercialisé,ARNIGEL,0,GEL,TUBE DE 45 G,PP,HOMEO,ANTALGIQUES,BOTTU,"42,00","26,30","25,03",511,
AMM ENREGISTREE,Commercialisé,ASUMATE,100 µg / 20 µG,COMPRIME PELLICULE,BOITE DE 21,GN,LEVONORGESTREL // ETHINYLESTRADIOL,GYNECOLOGIE,BOTTU,"48,90","30,50","29,09",512,
AMM ENREGISTREE,Commercialisé,ATROVENT ADULTE,"0,5 MG / 2 ML",SOLUTION POUR INHALATION NASALE,BOITE DE 10 RECIPIENTS UNIDOSES,PP,IPRATROPIUM (BROMURE),ALLERGOLOGIE,BOTTU,"68,80","43,00","40,97",513,
AMM ENREGISTREE,Commercialisé,ATROVENT ENFANT,"0,25 MG / 2 ML",SOLUTION POUR INHALATION NASALE,BOITE DE 10 RECIPIENTS UNIDOSES,PP,IPRATROPIUM (BROMURE),ALLERGOLOGIE,BOTTU,"50,40","31,50","30,01",514,
AMM ENREGISTREE,Commercialisé,AVENOC,0,POMMADE,TUBE DE 30 G,PP,HOMEO,DERMATOLOGIE,BOTTU,"45,80","28,60","27,26",515,
AMM ENREGISTREE,Commercialisé,AZIX,1500 MG,POUDRE POUR SOLUTION ORALE,"FLACON DE 37,5 ML",GN,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,BOTTU,"74,80","46,70","44,50",516,
AMM ENREGISTREE,Commercialisé,AZIX,500 MG,COMPRIME PELLICULE,BOITE DE 3,GN,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,BOTTU,"74,50","46,60","44,34",517,
AMM ENREGISTREE,Commercialisé,AZIX,900 MG,POUDRE POUR SOLUTION ORALE,"FLACON DE 22,5 ML",GN,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,BOTTU,"65,40","40,90","38,94",518,
AMM ENREGISTREE,Commercialisé,BELARA,"2 MG / 0,03 MG",COMPRIME PELLICULE,BOITE DE 21,PP,CHLORMADINONE (ACETATE)  // ETHINYLESTRADIOL,GYNECOLOGIE,BOTTU,"79,70","49,80","47,45",519,
AMM ENREGISTREE,Non Commercialisé,BISOLVOMYCINE,4 MG / 250 MG,DRAGEE,BOITE DE 16,PP,BROMHEXINE (CHLORHYDRATE) // TETRACYCLINE,PNEUMOLOGIE,BOTTU,"18,50","11,60","11,04",520,
AMM ENREGISTREE,Non Commercialisé,BISOLVON,"0,002",SOLUTION BUVABLE,FLACON DE 60 ML,PP,BROMHEXINE (CHLORHYDRATE),PNEUMOLOGIE,BOTTU,"17,10","10,70","10,18",521,
AMM ENREGISTREE,Non Commercialisé,BISOLVON,8 MG,COMPRIME,BOITE DE 30,PP,BROMHEXINE (CHLORHYDRATE),PNEUMOLOGIE,BOTTU,"21,90","13,70","13,05",522,
AMM ENREGISTREE,Commercialisé,BISPIRAZOLE,"1,5 MUI / 250 MG",COMPRIME PELLICULE,BOITE DE 15,GN,SPIRAMYCINE // METRONIDAZOLE,STOMATOLOGIE,BOTTU,"70,50","44,10","41,99",523,
AMM ENREGISTREE,Commercialisé,BRONCHATHIOL ENFANT,"0,02",SIROP,FLACON DE 125 ML,GN,CARBOCISTEINE,PNEUMOLOGIE,BOTTU,"17,40","10,90","10,37",524,
AMM ENREGISTREE,Commercialisé,BRONCHATHIOL EXPECTORANT ADULTE,"0,05",SIROP,FLACON DE 150 ML,GN,CARBOCISTEINE,PNEUMOLOGIE,BOTTU,"29,20","18,20","17,36",525,
AMM ENREGISTREE,Commercialisé,CACIT,1 G,COMPRIME EFFERVESCENT,BOITE DE 10,PP,CALCIUM (CARBONATE),METABOLISME NUTRITION DIABETE,BOTTU,"33,70","21,00","20,05",526,
AMM ENREGISTREE,Commercialisé,CACIT,1 G,COMPRIME EFFERVESCENT,BOITE DE 30,PP,CALCIUM (CARBONATE),METABOLISME NUTRITION DIABETE,BOTTU,"100,70","62,90","59,94",527,
AMM ENREGISTREE,Commercialisé,CACIT,500 MG,COMPRIME EFFERVESCENT,BOITE DE 20,PP,CALCIUM (CARBONATE),METABOLISME NUTRITION DIABETE,BOTTU,"33,70","21,00","20,05",528,
AMM ENREGISTREE,Commercialisé,CACIT,500 MG,COMPRIME EFFERVESCENT,BOITE DE 60,PP,CALCIUM (CARBONATE),METABOLISME NUTRITION DIABETE,BOTTU,"100,70","62,90","59,94",529,
AMM ENREGISTREE,Commercialisé,CACIT VITAMINE D3,1000 MG / 880 UI,GRANULE EFFERVESCENT EN SACHET,BOITE DE 30,PP,CALCIUM (CARBONATE) // CHOLECALCIFEROL,VITAMINES,BOTTU,"102,90","64,30","61,25",530,
AMM RETIREE,Rertiré du Marché,CATAPRESSAN,"0,15 MG / ML",SOLUTION INJECTABLE,BOITE DE 30,PP,CLONIDINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"139,20","87,00","82,86",531,
AMM ENREGISTREE,Commercialisé,CATAPRESSAN,"0,15 MG",COMPRIME SECABLE,BOITE DE 20,PP,CLONIDINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"25,40","15,90","15,12",532,
AMM ENREGISTREE,Commercialisé,CICADERMA,0,POMMADE,TUBE DE 30 G,PP,HOMEO,DERMATOLOGIE,BOTTU,"40,50","25,30","24,14",533,
AMM ENREGISTREE,Commercialisé,CIVASTINE,10 MG,COMPRIME PELLICULE,BOITE DE 28,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"70,00","43,70","41,67",534,
AMM ENREGISTREE,Non Commercialisé,CIVASTINE,20 MG,COMPRIME PELLICULE,BOITE DE 14,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"51,70","32,30","30,80",535,
AMM RETIREE,Rertiré du Marché,CIVASTINE,20 MG,COMPRIME PELLICULE,BOITE DE 28,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"130,00","81,20","77,38",536,
AMM ENREGISTREE,Commercialisé,CIVASTINE,20 MG,COMPRIME PELLICULE,BOITE DE 30,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"97,60","61,00","58,08",537,
AMM ENREGISTREE,Commercialisé / AO,CIVASTINE,20 MG,COMPRIME PELLICULE,BOITE DE 90,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"262,00","174,60","166,32",538,
AMM ENREGISTREE,Commercialisé,CIVASTINE,40 MG,COMPRIME PELLICULE,BOITE DE 30,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"171,00","106,90","101,78",539,
AMM ENREGISTREE,Commercialisé / AO,CIVASTINE,40 MG,COMPRIME PELLICULE,BOITE DE 90,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"414,90","275,70","262,60",540,
AMM RETIREE,Rertiré du Marché,CIVASTINE,40 MG,COMPRIME PELLICULE,BOITE DE 28,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"217,00","135,60","129,17",541,
AMM ENREGISTREE,Non Commercialisé,COCCULINE,0,COMPRIME,BOITE DE 30,PP,HOMEO,METABOLISME NUTRITION DIABETE,BOTTU,"41,30","25,80","24,59",542,
AMM ENREGISTREE,Commercialisé,CODOLIPRANE,400 MG / 20 MG,COMPRIME SECABLE,BOITE DE 16,GN,PARACETAMOL // CODEINE,ANTALGIQUES,BOTTU,"20,80","13,00","12,38",543,
AMM ENREGISTREE,Commercialisé,CORYZALIA,0,COMPRIME DRAGEFIE,BOITE DE 40,PP,HOMEO,METABOLISME NUTRITION DIABETE,BOTTU,"37,40","23,40","22,25",544,
AMM ENREGISTREE,Commercialisé,COTIPRED,20 MG,COMPRIME EFFERVESCENT,BOITE DE 20,GN,PREDNISOLONE,ENDOCRINOLOGIE ET HORMONES,BOTTU,"40,00","25,00","23,81",545,
AMM ENREGISTREE,Commercialisé,CURTEC,1 MG / 1 ML,SOLUTION BUVABLE,FLACON DE 60 ML,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,BOTTU,"18,70","11,70","11,13",546,
AMM ENREGISTREE,Commercialisé,CURTEC,10 MG,COMPRIME PELLICULE,BOITE DE 15,GN,CETIRIZINE (DICHLORHYDRATE),ALLERGOLOGIE,BOTTU,"42,80","26,70","25,47",547,
AMM ENREGISTREE,Commercialisé,DESIRETT,75 µG,COMPRIME PELLICULE,BOITE DE 28,GN,DESOGESTREL,GYNECOLOGIE,BOTTU,"39,20","24,50","23,36",548,
AMM ENREGISTREE,Commercialisé,DIAFORMINE,1000 MG,COMPRIME PELLICULE,BOITE DE 30,GN,METFORMINE (CHLORHYDRATE),METABOLISME NUTRITION DIABETE,BOTTU,"21,00","13,10","12,50",549,
AMM ENREGISTREE,Commercialisé,DIAFORMINE,850 MG,COMPRIME PELLICULE,BOITE DE 30,GN,METFORMINE (CHLORHYDRATE),METABOLISME NUTRITION DIABETE,BOTTU,"18,00","11,20","10,71",550,
AMM ENREGISTREE,Commercialisé,DIENILLE,"2 MG / 0,03 MG",COMPRIME PELLICULE,BOITE DE 21,GN,ETHINYLESTRADIOL DIENOGEST,GYNECOLOGIE,BOTTU,"67,30","42,10","40,07",551,
AMM ENREGISTREE,Commercialisé,DIGOXINE NATIVELLE,"0,05",SOLUTE BUVABLE,FLACON DE 60 ML,PP,DIGOXINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"22,60","14,10","13,45",552,
AMM ENREGISTREE,Commercialisé,DIGOXINE NATIVELLE,"0,25 MG",COMPRIME,BOITE DE 30,PP,DIGOXINE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"25,00","15,60","14,88",553,
AMM ENREGISTREE,Non Commercialisé,DIPREZAR,"50 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN POTASSIQUE // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"106,70","66,70","63,53",554,
AMM ENREGISTREE,Commercialisé,DIPREZAR,"50 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 30,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"114,30","71,50","68,07",555,
AMM ENREGISTREE,Commercialisé / AO,DIPREZAR,"50 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 90,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"308,00","204,00","194,94",556,
AMM ENREGISTREE,Non Commercialisé,DIPREZAR FORT,100 MG / 25 MG,COMPRIME PELLICULE,BOITE DE 28,GN,LOSARTAN POTASSIQUE // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"139,70","87,30","83,19",557,
AMM ENREGISTREE,Commercialisé,DIPREZAR FORT,100 MG / 25 MG,COMPRIME PELLICULE,BOITE DE 30,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"149,70","93,60","89,13",558,
AMM ENREGISTREE,Commercialisé / AO,DIPREZAR FORT,100 MG / 25 MG,COMPRIME PELLICULE,BOITE DE 90,GN,LOSARTAN // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"403,00","268,00","255,25",559,
AMM RETIREE,Rertiré du Marché,DISORLON,20 MG,GELULE A LIBERATION PROLONGEE,BOITE DE 60,GN,ISOSORBIDE (DINITRATE),CARDIOLOGIE ET ANGEIOLOGIE,BOTTU,"47,20","29,50","28,13",560,
AMM ENREGISTREE,Commercialisé,DOLI PEDIATRIQUE,"0,03",SOLUTION BUVABLE,FLACON DE 90 ML,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"16,40","10,20","9,74",561,
AMM ENREGISTREE,Commercialisé,DOLIGRIPPE,500MG / 200MG / 25MG,GRANULE POUR SUSPENSION BUVABLE EN SACHET,BOITE DE 8,GN,PARACETAMOL ACIDE ASCORBIQUE PHENIRAMINE // ACIDE ASCORBIQUE // PHENIRAMINE,ANTALGIQUES,BOTTU,"18,70","11,70","11,13",562,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,1 G,COMPRIME EFFERVESCENT SECABLE,BOITE DE 8,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"13,70","8,50","8,15",563,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,1 G,COMPRIME SECABLE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"13,10","8,20","7,79",564,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,100 MG,SACHET,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"8,10","5,00","4,81",565,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,150 MG,SACHET,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"9,10","5,70","5,40",566,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,150 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"9,10","5,70","5,40",567,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,200 MG,SACHET,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"10,50","6,50","6,23",568,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,200 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"11,00","6,90","6,54",569,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,300 MG,SACHET,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"12,00","7,50","7,15",570,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,300 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"12,00","7,50","7,15",571,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,500 MG,COMPRIME EFFERVESCENT,BOITE DE 16,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"14,80","9,20","8,79",572,
AMM RETIREE,Rertiré du Marché,DOLIPRANE,500 MG,COMPRIME ORODISPERSIBLE,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"16,00","10,00","8,90",573,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,500 MG,COMPRIME SECABLE,BOITE DE 20,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"9,60","6,00","5,73",574,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,500 MG,GELULE,BOITE DE 16,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"14,30","8,90","8,51",575,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,500 MG,SACHET,BOITE DE 12,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"13,40","8,40","8,01",576,
AMM ENREGISTREE,Commercialisé,DOLIPRANE,100 MG,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"8,10","5,00","4,81",577,
AMM ENREGISTREE,Commercialisé,DOLIPRANE ADULTE,1 G,SUPPOSITOIRE,BOITE DE 10,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"13,40","8,40","8,01",578,
AMM ENREGISTREE,Commercialisé,DOLIPRANE VITAMINE C,500 MG / 150 MG,COMPRIME EFFERVESCENT,BOITE DE 16,GN,PARACETAMOL // ACIDE ASCORBIQUE,ANTALGIQUES,BOTTU,"16,80","10,50","10,01",579,
AMM ENREGISTREE,Commercialisé,DOLIRHUME,500 MG / 15 MG / 30 MG,COMPRIME,BOITE DE 16,GN,PARACETAMOL // PSEUDOEPHEDRINE,ANTALGIQUES,BOTTU,"17,10","10,70","10,21",580,
AMM ENREGISTREE,Commercialisé,DOLTRAM,"37,5 MG / 325 MG",COMPRIME PELLICULE,BOITE DE 20,GN,TRAMADOL (CHLORHYDRATE) // PARACETAMOL,ANTALGIQUES,BOTTU,"27,60","17,20","16,43",581,
AMM ENREGISTREE,Commercialisé,DOZYL,10 MG,COMPRIME PELLICULE,BOITE DE 28,GN,DONEPEZIL,NEUROLOGIE-PSYCHIATRIE,BOTTU,"438,00","291,00","277,56",582,
AMM ENREGISTREE,Commercialisé,DOZYL,5 MG,COMPRIME PELLICULE,BOITE DE 28,GN,DONEPEZIL,NEUROLOGIE-PSYCHIATRIE,BOTTU,"265,00","165,90","157,99",583,
AMM ENREGISTREE,Commercialisé,EFORTIL,"0,75 MG",SOLUTE BUVABLE,FLACON DE 30 ML,PP,ETIFOXINE (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,BOTTU,"28,70","17,90","17,10",584,
AMM ENREGISTREE,Commercialisé,EZIUM,20 MG,GELULE GASTRO-RESISTANTE,BOITE DE 14,GN,ESOMEPRAZOLE MAGNESIUM,GASTRO-ENTEROLOGIE,BOTTU,"76,70","48,00","45,69",585,
AMM ENREGISTREE,Commercialisé,EZIUM,20 MG,GELULE GASTRO-RESISTANTE,BOITE DE 28,GN,ESOMEPRAZOLE MAGNESIUM,GASTRO-ENTEROLOGIE,BOTTU,"135,10","84,40","80,41",586,
AMM ENREGISTREE,Commercialisé,EZIUM,20 MG,GELULE GASTRO-RESISTANTE,BOITE DE 7,GN,ESOMEPRAZOLE MAGNESIUM,GASTRO-ENTEROLOGIE,BOTTU,"43,00","26,80","25,58",587,
AMM ENREGISTREE,Commercialisé,EZIUM,40 MG,GELULE GASTRO-RESISTANTE,BOITE DE 14,GN,ESOMEPRAZOLE MAGNESIUM,GASTRO-ENTEROLOGIE,BOTTU,"111,40","69,60","66,31",588,
AMM ENREGISTREE,Commercialisé,EZIUM,40 MG,GELULE GASTRO-RESISTANTE,BOITE DE 28,GN,ESOMEPRAZOLE MAGNESIUM,GASTRO-ENTEROLOGIE,BOTTU,"195,30","122,10","116,27",589,
AMM ENREGISTREE,Commercialisé,EZIUM,40 MG,GELULE GASTRO-RESISTANTE,BOITE DE 7,GN,ESOMEPRAZOLE MAGNESIUM,GASTRO-ENTEROLOGIE,BOTTU,"63,30","39,50","37,66",590,
AMM ENREGISTREE,Non Commercialisé,FOLACID,5 MG,COMPRIME,BOITE DE 28,GN,ACIDE FOLIQUE,HEMATOLOGIE ET HEMOSTASE,BOTTU,"24,50","15,30","14,60",591,
AMM ENREGISTREE,Non Commercialisé,GASTROCYNESINE,0,COMPRIME,BOITE DE 60,PP,HOMEO,METABOLISME NUTRITION DIABETE,BOTTU,"43,00","26,90","25,59",592,
AMM ENREGISTREE,Commercialisé,GELUPRANE,500 MG,GELULE,BOITE DE 16,GN,PARACETAMOL,ANTALGIQUES,BOTTU,"14,30","8,90","9,26",593,
AMM ENREGISTREE,Non Commercialisé,GESTEL,100 MG,CAPSULE MOLLE ORALE OU VAGINALE,BOITE DE 15,GN,PROGESTERONE,GYNECOLOGIE,BOTTU,"29,30","18,30","17,44",594,
AMM ENREGISTREE,Non Commercialisé,GESTEL,100 MG,CAPSULE MOLLE ORALE OU VAGINALE,BOITE DE 30,GN,PROGESTERONE,GYNECOLOGIE,BOTTU,"52,10","32,60","31,01",595,
AMM ENREGISTREE,Commercialisé,GESTEL,200 MG,CAPSULE MOLLE ORALE OU VAGINALE,BOITE DE 15,GN,PROGESTERONE,GYNECOLOGIE,BOTTU,"61,70","38,50","36,72",596,
